time_utc,symbol,source,regime,breadth_pct,technical_score,required_score,entry_ready,technical_pass,expert_score,expert_verdict,coverage,top_position_ratio,top_account_ratio,global_ratio,taker_ratio,oi_change_pct,funding_pct,shadow_action
2026-08-27T21:49:35.092924+00:00,HEMIUSDT,CORE,RISK_OFF,20.00,6.5171,99.0000,N,N,0.2517,SUPPORT,6,2.3326,0.9037,0.7364,1.1209,0.7086,0.00500,OBSERVE
2026-08-27T21:54:33.991468+00:00,HBARUSDT,CORE,RISK_OFF,38.33,6.5674,99.0000,N,N,0.5647,CONFIRM,6,3.4524,1.8450,1.3602,1.9581,0.2651,0.00131,WOULD_SUPPORT_NEAR_READY
2026-08-27T21:59:27.402456+00:00,NEARUSDT,TREND,WEAK,45.00,6.8514,99.3500,N,N,0.5661,CONFIRM,6,2.8550,1.8563,1.4994,2.5806,0.2558,0.00669,WOULD_SUPPORT_NEAR_READY
2026-08-27T22:04:46.284390+00:00,BICOUSDT,TREND,WEAK,63.33,7.0472,99.3500,N,N,0.3658,CONFIRM,6,1.4698,1.0794,0.8765,1.3401,0.6201,-0.19821,WOULD_SUPPORT_NEAR_READY
2026-08-27T22:04:47.873603+00:00,NEARUSDT,TREND,WEAK,63.33,6.8148,99.3500,N,N,0.1831,SUPPORT,6,2.8561,1.8539,1.4994,0.5560,0.1183,0.00694,OBSERVE
2026-08-27T22:09:51.452413+00:00,AVAXUSDT,CORE,PROBE,81.67,7.4527,7.7000,N,N,0.2622,SUPPORT,6,2.7630,2.7736,2.1230,0.7909,0.2008,0.00825,OBSERVE
2026-08-27T22:09:53.045950+00:00,NEARUSDT,TREND,PROBE,81.67,7.4488,8.0500,N,N,0.3841,CONFIRM,6,2.8517,1.8580,1.5050,0.8813,0.1327,0.00758,WOULD_SUPPORT_NEAR_READY
2026-08-27T22:09:54.644265+00:00,TAOUSDT,TREND,PROBE,81.67,7.1330,8.0500,N,N,0.3835,CONFIRM,6,3.8340,2.0120,1.6889,1.3168,0.1151,0.00500,WOULD_SUPPORT_NEAR_READY
2026-08-27T22:09:56.238542+00:00,LINKUSDT,TREND,PROBE,81.67,7.1187,8.0500,N,N,0.5694,CONFIRM,6,2.0488,1.8977,1.6688,5.3409,0.3113,0.00879,WOULD_SUPPORT_NEAR_READY
2026-08-27T22:09:58.279276+00:00,REUSDT,CORE,PROBE,81.67,7.0396,7.7000,N,N,0.3259,SUPPORT,6,1.6608,0.5513,0.4320,2.8524,0.6494,0.00500,OBSERVE
2026-08-27T22:14:38.402010+00:00,NEARUSDT,TREND,PROBE,88.33,7.5369,8.0500,N,N,0.5196,CONFIRM,6,2.8890,1.8433,1.4925,1.3291,0.8511,0.00772,WOULD_SUPPORT_NEAR_READY
2026-08-27T22:14:39.999314+00:00,PUMPUSDT,TREND,PROBE,88.33,7.1244,8.0500,N,N,0.0129,NEUTRAL,6,1.2843,1.1882,1.1891,0.7817,-0.2457,0.00500,OBSERVE
2026-08-27T22:14:41.589522+00:00,SOLUSDT,TREND,PROBE,88.33,6.8819,8.0500,N,N,0.1123,SUPPORT,6,1.9894,1.5082,1.4195,0.4589,-0.2748,-0.00211,OBSERVE
2026-08-27T22:14:43.180075+00:00,LINKUSDT,TREND,PROBE,88.33,6.7470,8.0500,N,N,0.3060,SUPPORT,6,2.0458,1.8994,1.6702,1.0237,-0.0189,0.00851,OBSERVE
2026-08-27T22:19:47.212801+00:00,XPLUSDT,TREND,PROBE,80.00,7.7829,8.0500,N,N,0.4754,CONFIRM,6,4.4257,1.0433,0.7434,1.6857,0.7701,0.00500,WOULD_SUPPORT_NEAR_READY
